ptp,counterbalancing,rt,correct,mouse_clientX,mouse_clientY,row,col,pa_center_x,pa_center_y,condition,arrangement,learning_stage,block,block_trial_idx,pa_img,pa_img_type,corr_row,corr_col,top_offset,left_offset,time_elapsed,mouse_dist_cb,mouse_error,pa_img_row_number,pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed,display_information.wrapper_arena_position.x,display_information.wrapper_arena_position.y,display_information.wrapper_arena_position.width,display_information.wrapper_arena_position.height,display_information.wrapper_arena_position.top,display_information.wrapper_arena_position.right,display_information.wrapper_arena_position.bottom,display_information.wrapper_arena_position.left,display_information.grid_border_position.x,display_information.grid_border_position.y,display_information.grid_border_position.width,display_information.grid_border_position.height,display_information.grid_border_position.top,display_information.grid_border_position.right,display_information.grid_border_position.bottom,display_information.grid_border_position.left,display_information.grid_box_position.x,display_information.grid_box_position.y,display_information.grid_box_position.width,display_information.grid_box_position.height,display_information.grid_box_position.top,display_information.grid_box_position.right,display_information.grid_box_position.bottom,display_information.grid_box_position.left,display_information.window_scroll_x,display_information.window_scroll_y,display_information.window_innerHeight,display_information.window_innerWidth,display_information.window_outerHeight,display_information.window_outerWidth
sub_001,cb2,5.685923652,0,961,363,3,6,1127.78125,697.03125,schema_c,1,schema_pa,1,18,img/targets/BOSS/high_familiarity_downsized/cond2/042_curtain.jpg,,11,10,133,92,869,500.8125,373.353534,3,3,9,2,10,1,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,702,229.59375,560,560,229.59375,1262,789.59375,702,732,259.59375,500,500,259.59375,1232,759.59375,732,0,0,942,1920,826,1539
sub_001,cb2,5.058412065,0,847,532,7,4,806.109375,657.375,schema_c,1,schema_pa,1,19,img/targets/BOSS/high_familiarity_downsized/cond2/032_flipflop01b.jpg,,10,3,135,62,909,166.265625,131.8746899,3,3,2,9,9,2,2,4,609,95.59375,702,702,95.59375,1311,797.59375,609,672,231.59375,560,560,231.59375,1232,791.59375,672,702,261.59375,500,500,261.59375,1202,761.59375,702,0,0,942,1920,826,1539
sub_001,cb2,2.418290382,0,776,532,10,3,1067.78125,574.03125,schema_c,1,schema_pa,1,20,img/targets/BOSS/high_familiarity_downsized/cond2/042_curtain.jpg,,11,10,10,32,953,333.8125,294.7930186,4,4,9,2,10,1,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,642,106.59375,560,560,106.59375,1202,666.59375,642,672,136.59375,500,500,136.59375,1172,636.59375,672,0,0,942,1920,826,1539
sub_001,cb2,0.829976415,1,863,617,10,3,863.109375,617.375,schema_c,1,schema_pa,1,21,img/targets/BOSS/high_familiarity_downsized/cond2/032_flipflop01b.jpg,,10,3,95,119,997,0.484375,0.390625,4,4,2,9,9,2,2,4,609,95.59375,702,702,95.59375,1311,797.59375,609,729,191.59375,560,560,191.59375,1289,751.59375,729,759,221.59375,500,500,221.59375,1259,721.59375,759,0,0,942,1920,826,1539
sub_001,cb2,3.638696313,0,885,399,7,4,1177.445313,441.0390625,schema_c,1,schema_pa,1,22,img/targets/BOSS/high_familiarity_downsized/cond2/041_carsidemirror01.jpg,,8,11,2,100,1039,334.484375,295.4514234,4,4,10,1,7,4,1,5,609,95.59375,702,702,95.59375,1311,797.59375,609,710,98.59375,560,560,98.59375,1270,658.59375,710,740,128.59375,500,500,128.59375,1240,628.59375,740,0,0,942,1920,826,1539
sub_001,cb2,2.867287659,0,1201,530,8,11,909.78125,488.375,schema_c,1,schema_pa,1,23,img/targets/BOSS/high_familiarity_downsized/cond2/037_doorhandle.jpg,near,7,4,91,124,1082,332.84375,294.1785189,4,4,3,8,6,5,3,8,609,95.59375,702,702,95.59375,1311,797.59375,609,734,187.59375,560,560,187.59375,1294,747.59375,734,764,217.59375,500,500,217.59375,1264,717.59375,764,0,0,942,1920,826,1539
sub_001,cb2,5.534937984,0,756,671,10,3,756.1171875,338.0390625,schema_c,1,schema_pa,1,24,img/targets/BOSS/high_familiarity_downsized/cond2/030_bathtub.jpg,,2,3,149,12,1122,333.078125,332.9609581,4,4,2,9,1,10,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,622,245.59375,560,560,245.59375,1182,805.59375,622,652,275.59375,500,500,275.59375,1152,775.59375,652,0,0,942,1920,826,1539
sub_001,cb2,9.206665812,0,1109,450,8,11,776.109375,533.375,schema_c,1,schema_pa,2,1,img/targets/BOSS/high_familiarity_downsized/cond2/032_flipflop01b.jpg,,10,3,11,32,129,416.265625,343.1727828,1,5,2,9,9,2,2,4,609,95.59375,702,702,95.59375,1311,797.59375,609,642,107.59375,560,560,107.59375,1202,667.59375,642,672,137.59375,500,500,137.59375,1172,637.59375,672,0,0,942,1920,826,1539
sub_001,cb2,7.75718603,0,1173,579,11,10,1007.117188,245.7109375,schema_c,1,schema_pa,2,2,img/targets/BOSS/high_familiarity_downsized/cond2/038_aceofdiamond.jpg,near,3,6,15,138,172,499.171875,372.2884724,1,5,5,6,2,9,2,7,609,95.59375,702,702,95.59375,1311,797.59375,609,748,111.59375,560,560,111.59375,1308,671.59375,748,778,141.59375,500,500,141.59375,1278,641.59375,778,0,0,942,1920,826,1539
sub_001,cb2,9.406567215,1,1157,553,8,11,1157.445313,553.0390625,schema_c,1,schema_pa,2,3,img/targets/BOSS/high_familiarity_downsized/cond2/041_carsidemirror01.jpg,,8,11,114,80,214,0.484375,0.447022484,1,5,10,1,7,4,1,5,609,95.59375,702,702,95.59375,1311,797.59375,609,690,210.59375,560,560,210.59375,1250,770.59375,690,720,240.59375,500,500,240.59375,1220,740.59375,720,0,0,942,1920,826,1539
sub_001,cb2,2.071768139,1,944,454,7,4,944.78125,454.375,schema_c,1,schema_pa,2,4,img/targets/BOSS/high_familiarity_downsized/cond2/037_doorhandle.jpg,near,7,4,57,159,256,1.15625,0.866589039,1,5,3,8,6,5,3,8,609,95.59375,702,702,95.59375,1311,797.59375,609,769,153.59375,560,560,153.59375,1329,713.59375,769,799,183.59375,500,500,183.59375,1299,683.59375,799,0,0,942,1920,826,1539
sub_001,cb2,1.916927936,1,850,328,2,3,850.1171875,328.0390625,schema_c,1,schema_pa,2,5,img/targets/BOSS/high_familiarity_downsized/cond2/030_bathtub.jpg,,2,3,139,106,299,0.15625,0.123526471,1,5,2,9,1,10,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,716,235.59375,560,560,235.59375,1276,795.59375,716,746,265.59375,500,500,265.59375,1246,765.59375,746,0,0,942,1920,826,1539
sub_001,cb2,2.914394868,0,834,263,2,3,1167.445313,513.0390625,schema_c,1,schema_pa,2,6,img/targets/BOSS/high_familiarity_downsized/cond2/041_carsidemirror01.jpg,,8,11,74,90,341,583.484375,416.779689,2,6,10,1,7,4,1,5,609,95.59375,702,702,95.59375,1311,797.59375,609,700,170.59375,560,560,170.59375,1260,730.59375,700,730,200.59375,500,500,200.59375,1230,700.59375,730,0,0,942,1920,826,1539
sub_001,cb2,8.814201207,0,894,374,3,6,1060.78125,708.03125,schema_c,1,schema_pa,2,7,img/targets/BOSS/high_familiarity_downsized/cond2/042_curtain.jpg,,11,10,144,25,384,500.8125,373.353534,1,5,9,2,10,1,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,635,240.59375,560,560,240.59375,1195,800.59375,635,665,270.59375,500,500,270.59375,1165,770.59375,665,0,0,942,1920,826,1539
sub_001,cb2,1.808116292,0,1060,669,11,10,810.78125,502.375,schema_c,1,schema_pa,2,8,img/targets/BOSS/high_familiarity_downsized/cond2/037_doorhandle.jpg,near,7,4,105,25,428,415.84375,299.7897196,2,6,3,8,6,5,3,8,609,95.59375,702,702,95.59375,1311,797.59375,609,635,201.59375,560,560,201.59375,1195,761.59375,635,665,231.59375,500,500,231.59375,1165,731.59375,665,0,0,942,1920,826,1539
sub_001,cb2,4.771888115,0,961,377,3,6,836.1171875,336.0390625,schema_c,1,schema_pa,2,9,img/targets/BOSS/high_familiarity_downsized/cond2/030_bathtub.jpg,,2,3,147,92,472,165.84375,131.4287459,2,6,2,9,1,10,1,3,609,95.59375,702,702,95.59375,1311,797.59375,609,702,243.59375,560,560,243.59375,1262,803.59375,702,732,273.59375,500,500,273.59375,1232,773.59375,732,0,0,942,1920,826,1539
sub_001,cb2,7.093250151,1,978,386,3,6,978.1171875,386.7109375,schema_c,1,schema_pa,2,10,img/targets/BOSS/high_familiarity_downsized/cond2/038_aceofdiamond.jpg,near,3,6,156,109,517,0.828125,0.720531081,2,6,5,6,2,9,2,7,609,95.59375,702,702,95.59375,1311,797.59375,609,719,252.59375,560,560,252.59375,1279,812.59375,719,749,282.59375,500,500,282.59375,1249,782.59375,749,0,0,942,1920,826,1539
